discipline,word,count
Transcripts_Psychology,so,201
Transcripts_Psychology,haben,165
Transcripts_Psychology,auch,142
Transcripts_Psychology,dann,131
Transcripts_Psychology,sagen,118
Transcripts_Psychology,ja,106
Transcripts_Psychology,machen,86
Transcripts_Psychology,ganz,82
Transcripts_Psychology,jetzt,78
Transcripts_Psychology,da,75
Transcripts_Psychology,denken,72
Transcripts_Psychology,gehen,68
Transcripts_Psychology,noch,66
Transcripts_Psychology,nur,65
Transcripts_Psychology,geben,64
Transcripts_Psychology,gut,61
Transcripts_Psychology,mal,61
Transcripts_Psychology,mensch,61
Transcripts_Psychology,sein,58
Transcripts_Psychology,kommen,57
