discipline,word,count
Transcripts_Art,so,192
Transcripts_Art,auch,179
Transcripts_Art,haben,150
Transcripts_Art,dann,137
Transcripts_Art,da,112
Transcripts_Art,sagen,105
Transcripts_Art,machen,104
Transcripts_Art,mal,99
Transcripts_Art,ja,93
Transcripts_Art,jetzt,91
Transcripts_Art,noch,89
Transcripts_Art,ganz,80
Transcripts_Art,nur,79
Transcripts_Art,gut,79
Transcripts_Art,hier,79
Transcripts_Art,immer,73
Transcripts_Art,gehen,66
Transcripts_Art,leute,65
Transcripts_Art,geben,60
Transcripts_Art,sehr,59
