discipline,word,count
Transcripts_Business,haben,172
Transcripts_Business,auch,171
Transcripts_Business,so,156
Transcripts_Business,dann,149
Transcripts_Business,machen,121
Transcripts_Business,unternehmen,119
Transcripts_Business,sagen,95
Transcripts_Business,da,88
Transcripts_Business,gut,78
Transcripts_Business,also,76
Transcripts_Business,ganz,74
Transcripts_Business,mensch,73
Transcripts_Business,noch,72
Transcripts_Business,gehen,70
Transcripts_Business,mal,70
Transcripts_Business,ja,70
Transcripts_Business,jetzt,69
Transcripts_Business,nur,68
Transcripts_Business,geben,68
Transcripts_Business,werden,64
