discipline,word,count
Transcripts_Science,auch,193
Transcripts_Science,so,167
Transcripts_Science,dann,130
Transcripts_Science,haben,103
Transcripts_Science,machen,94
Transcripts_Science,jetzt,94
Transcripts_Science,also,92
Transcripts_Science,geben,80
Transcripts_Science,da,78
Transcripts_Science,mal,74
Transcripts_Science,sehr,74
Transcripts_Science,hier,73
Transcripts_Science,noch,70
Transcripts_Science,sehen,67
Transcripts_Science,ganz,66
Transcripts_Science,gehen,53
Transcripts_Science,nur,52
Transcripts_Science,jahr,52
Transcripts_Science,mensch,52
Transcripts_Science,sagen,51
